dataset,lr,max_depth,n_estimators,metric,mean,std
Brazilian_houses,0.01,5,50,r2,0.5754175802363994,0.010049331789948482
Brazilian_houses,0.01,5,50,mse,0.267758732189891,0.010830873966481115
Brazilian_houses,0.01,5,100,r2,0.8096322782224327,0.015140780007836861
Brazilian_houses,0.01,5,100,mse,0.12011796937080448,0.011158703974461736
Brazilian_houses,0.01,5,500,r2,0.9870147407374112,0.014605948260571459
Brazilian_houses,0.01,5,500,mse,0.008282191753701974,0.009421125256083025
Brazilian_houses,0.01,5,1000,r2,0.9909790898810081,0.012402109740146411
Brazilian_houses,0.01,5,1000,mse,0.005778083324075883,0.007988991448499431
Brazilian_houses,0.01,10,50,r2,0.5892851602611928,0.01090940906597176
Brazilian_houses,0.01,10,50,mse,0.25902604817399794,0.011236332535687184
Brazilian_houses,0.01,10,100,r2,0.8233756894229062,0.01567883595543684
Brazilian_houses,0.01,10,100,mse,0.11146317460635538,0.011437787090328694
Brazilian_houses,0.01,10,500,r2,0.9866246989712252,0.015674863536249202
Brazilian_houses,0.01,10,500,mse,0.008544056942725664,0.01012199656250198
Brazilian_houses,0.01,10,1000,r2,0.9893458483337199,0.014043689060216373
Brazilian_houses,0.01,10,1000,mse,0.006827742585603419,0.009065848609080168
Brazilian_houses,0.1,3,50,r2,0.9819466733318517,0.01603611036833526
Brazilian_houses,0.1,3,50,mse,0.011478454832206364,0.010368231868963221
Brazilian_houses,0.1,3,100,r2,0.988706510446525,0.012351387298909163
Brazilian_houses,0.1,3,100,mse,0.007191312794910617,0.007971796379730374
Brazilian_houses,0.1,3,500,r2,0.9918280209247003,0.009010290627282152
Brazilian_houses,0.1,3,500,mse,0.005185871526704918,0.005820475753310878
Brazilian_houses,0.1,3,1000,r2,0.9921220142097793,0.00880207443049403
Brazilian_houses,0.1,3,1000,mse,0.0049972696296379775,0.005686960253961442
Brazilian_houses,0.1,5,50,r2,0.9862739144988675,0.014244405351927973
Brazilian_houses,0.1,5,50,mse,0.008748934350867507,0.009195538070019178
Brazilian_houses,0.1,5,100,r2,0.9898289445321311,0.012108903007439251
Brazilian_houses,0.1,5,100,mse,0.006500489624650429,0.007801864386643512
Brazilian_houses,0.1,5,500,r2,0.9924581918622929,0.010325815585353585
Brazilian_houses,0.1,5,500,mse,0.0048314022898188385,0.006655643832851042
Brazilian_houses,0.1,5,1000,r2,0.992643261348159,0.010289379616132325
Brazilian_houses,0.1,5,1000,mse,0.004714465198542466,0.006630738434130774
Brazilian_houses,0.1,10,50,r2,0.985814551964196,0.015470418830296227
Brazilian_houses,0.1,10,50,mse,0.009054782366195106,0.009992966300940757
Brazilian_houses,0.1,10,100,r2,0.9886103747313661,0.01402233944229163
Brazilian_houses,0.1,10,100,mse,0.007290557045341803,0.009049482200042477
Brazilian_houses,0.1,10,500,r2,0.9907402911354998,0.013175947400987377
Brazilian_houses,0.1,10,500,mse,0.005943831093528465,0.00849020720599901
Brazilian_houses,0.1,10,1000,r2,0.9908720282647062,0.01312051495488287
Brazilian_houses,0.1,10,1000,mse,0.005860131732842927,0.008453660488428967
Brazilian_houses,0.3,3,50,r2,0.9871517347029177,0.010563606495003475
Brazilian_houses,0.3,3,50,mse,0.00814310407305611,0.0068095220424023864
Brazilian_houses,0.3,3,100,r2,0.9896318946651614,0.009433142740481374
Brazilian_houses,0.3,3,100,mse,0.006565509305831096,0.006068616939967614
Brazilian_houses,0.3,3,500,r2,0.9911912975803305,0.008840088436514485
Brazilian_houses,0.3,3,500,mse,0.005572815054797061,0.0056699312015245674
Brazilian_houses,0.3,3,1000,r2,0.9914912276112242,0.008818472540521836
Brazilian_houses,0.3,3,1000,mse,0.005382689717114425,0.005654033975091274
Brazilian_houses,0.3,5,50,r2,0.9888508095765701,0.012156524692396984
Brazilian_houses,0.3,5,50,mse,0.007120228203939695,0.00785321679424385
Brazilian_houses,0.3,5,100,r2,0.9910798027450367,0.011248174308239631
Brazilian_houses,0.3,5,100,mse,0.005709243959183397,0.007258371461203514
Brazilian_houses,0.3,5,500,r2,0.9921662614636781,0.010936026353891829
Brazilian_houses,0.3,5,500,mse,0.005022855890288752,0.007052546952638103
Brazilian_houses,0.3,5,1000,r2,0.9922484617146529,0.010894413621191104
Brazilian_houses,0.3,5,1000,mse,0.004970490889913767,0.00702458049303517
Brazilian_houses,0.3,10,50,r2,0.9883735200588644,0.013757732230706653
Brazilian_houses,0.3,10,50,mse,0.00744140037323629,0.008896047379109921
Brazilian_houses,0.3,10,100,r2,0.9896557878150671,0.013493118251770794
Brazilian_houses,0.3,10,100,mse,0.0066331214356431635,0.008717490767798854
Brazilian_houses,0.3,10,500,r2,0.9902250246987917,0.013348593815563694
Brazilian_houses,0.3,10,500,mse,0.0062732114286125325,0.008619827742954302
Brazilian_houses,0.3,10,1000,r2,0.9902509199617132,0.013346174272106836
Brazilian_houses,0.3,10,1000,mse,0.006256883931167812,0.008618146561295089
wine,0.001,3,50,r2,0.018198879985713602,0.004564146626089022
wine,0.001,3,50,mse,0.7456501362564126,0.042714757577544546
wine,0.001,3,100,r2,0.037307899693633594,0.0054015675267200846
wine,0.001,3,100,mse,0.7311614090294896,0.042328984340252805
wine,0.001,3,500,r2,0.14548860953872217,0.013407566663365874
wine,0.001,3,500,mse,0.6490872915110237,0.04014084054548865
wine,0.001,3,1000,r2,0.2151129990810506,0.02022970101418879
wine,0.001,3,1000,mse,0.5962133139730386,0.03914748920266375
