dataset,k,ks,order,scaling,metric,mean,std
Brazilian_houses,4,22,2,no_scaling,r2,0.6267872319185404,0.6720239102296256
Brazilian_houses,4,23,1,learned,r2,0.5966763845059251,0.6411587546978558
Brazilian_houses,4,23,1,no_scaling,r2,0.6317615575028299,0.6579382446243188
Brazilian_houses,4,23,2,learned,r2,0.6713353969456994,0.6964958956078512
Brazilian_houses,4,23,2,no_scaling,r2,0.6360967276919277,0.6458112427722119
Brazilian_houses,4,24,1,learned,r2,0.6286457513458228,0.6958152406135502
Brazilian_houses,4,24,1,no_scaling,r2,0.6341905061687727,0.6517451376587079
Brazilian_houses,4,24,2,learned,r2,0.6647258166680483,0.586988670328737
Brazilian_houses,4,24,2,no_scaling,r2,0.6337373005726936,0.6530136182841736
Brazilian_houses,4,38,1,learned,r2,0.5873301397333467,0.8135344509607201
Brazilian_houses,4,38,1,no_scaling,r2,0.6217115098904378,0.6676044547233645
Brazilian_houses,4,38,2,learned,r2,0.7313354792271141,0.6043964350927529
Brazilian_houses,4,38,2,no_scaling,r2,0.6217114669500143,0.6676039409961112
Brazilian_houses,4,39,1,learned,r2,0.7093194342004226,0.44391075331817387
Brazilian_houses,4,39,1,no_scaling,r2,0.6300331030634707,0.6450009463246675
Brazilian_houses,4,39,2,learned,r2,0.723285412060714,0.6089808104757272
Brazilian_houses,4,39,2,no_scaling,r2,0.6299182371255035,0.6453273531674611
Brazilian_houses,4,42,1,learned,r2,0.628181273584645,0.6817881920036242
Brazilian_houses,4,42,1,no_scaling,r2,0.6231044882123993,0.6595964623220465
Brazilian_houses,4,42,2,learned,r2,0.5897320307710929,0.7899670016321934
Brazilian_houses,4,42,2,no_scaling,r2,0.6231036471528075,0.6595973220784409
Brazilian_houses,4,51,1,learned,r2,0.5770317815980823,0.8020950198134027
Brazilian_houses,4,51,1,no_scaling,r2,0.6149220631523906,0.6808421919535528
Brazilian_houses,4,51,2,learned,r2,0.5756699753049808,0.7972601828331382
Brazilian_houses,4,51,2,no_scaling,r2,0.6148084558073779,0.6811576539297454
Brazilian_houses,4,56,1,learned,r2,0.6363046145027799,0.6230559902368207
Brazilian_houses,4,56,1,no_scaling,r2,0.6071752938480461,0.6967232097535551
Brazilian_houses,4,56,2,learned,r2,0.6304302796409283,0.6363524788159381
Brazilian_houses,4,56,2,no_scaling,r2,0.6067116239731811,0.6980170044795923
Brazilian_houses,4,66,1,learned,r2,0.570212606993314,0.802489292451689
Brazilian_houses,4,66,1,no_scaling,r2,0.6015251622830868,0.7045189041668759
Brazilian_houses,4,66,2,learned,r2,0.6568261888085578,0.6516588480814374
Brazilian_houses,4,66,2,no_scaling,r2,0.6015255150861492,0.704519367735279
Brazilian_houses,4,71,1,learned,r2,0.6258432821531942,0.6363830140429304
Brazilian_houses,4,71,1,no_scaling,r2,0.5983571759400657,0.7143576211346315
Brazilian_houses,4,71,2,learned,r2,0.5682151879883444,0.8099345076584928
Brazilian_houses,4,71,2,no_scaling,r2,0.5987645269897099,0.7132220798647493
Brazilian_houses,4,72,1,learned,r2,0.6295834406166112,0.6385379036391111
Brazilian_houses,4,72,1,no_scaling,r2,0.598373727478202,0.7135733427059497
Brazilian_houses,4,72,2,learned,r2,0.6749377508992258,0.477534664261699
Brazilian_houses,4,72,2,no_scaling,r2,0.5983747203374973,0.7135805233844773
Brazilian_houses,4,73,1,learned,r2,0.5933822664186665,0.7090192225226873
Brazilian_houses,4,73,1,no_scaling,r2,0.5979891461337378,0.7151560944876715
Brazilian_houses,4,73,2,learned,r2,0.6042601912495181,0.6367749486012187
Brazilian_houses,4,73,2,no_scaling,r2,0.5975668054959783,0.7163248411182072
Brazilian_houses,4,75,1,learned,r2,0.5909569240126229,0.7466084679879017
Brazilian_houses,4,75,1,no_scaling,r2,0.595417139663567,0.7177638700163405
Brazilian_houses,4,75,2,learned,r2,0.562413436893364,0.7964853419465164
Brazilian_houses,4,75,2,no_scaling,r2,0.5954178402179593,0.7177619289703003
Brazilian_houses,4,78,1,learned,r2,0.6339575927740245,0.7848967356376887
Brazilian_houses,4,78,1,no_scaling,r2,0.593404510776547,0.7245588852522206
Brazilian_houses,4,78,2,learned,r2,0.6313759580589472,0.6407332622589463
Brazilian_houses,4,78,2,no_scaling,r2,0.5934050493712514,0.724558419111241
Brazilian_houses,4,86,1,learned,r2,0.5826632275927238,0.6265647985169873
Brazilian_houses,4,86,1,no_scaling,r2,0.5871684496032159,0.7335562426846325
Brazilian_houses,4,86,2,learned,r2,0.6330895756685835,0.6443948847553503
Brazilian_houses,4,86,2,no_scaling,r2,0.5866008651967326,0.7351786793725357
Brazilian_houses,4,87,1,learned,r2,0.5628863658729706,0.7453861980012545
Brazilian_houses,4,87,1,no_scaling,r2,0.5874478096916063,0.7304754401147703
Brazilian_houses,4,87,2,learned,r2,0.620640359005708,0.6478162861980489
Brazilian_houses,4,87,2,no_scaling,r2,0.5874488817167163,0.7304747712514348
Brazilian_houses,4,123,1,learned,r2,0.5794624768958021,0.736680263594139
Brazilian_houses,4,123,1,no_scaling,r2,0.5743224483433067,0.7380949203461737
Brazilian_houses,4,123,2,learned,r2,0.5504751479721977,0.8435765359067299
Brazilian_houses,4,123,2,no_scaling,r2,0.5746227378778642,0.7372737293630223
Brazilian_houses,4,124,1,learned,r2,0.5524731251314436,0.8406943781080608
Brazilian_houses,4,124,1,no_scaling,r2,0.573720282401423,0.7400564893720584
Brazilian_houses,4,124,2,learned,r2,0.7081081347752438,0.6185648762424969
Brazilian_houses,4,124,2,no_scaling,r2,0.5737674565692796,0.7399277147655684
Brazilian_houses,4,130,1,learned,r2,0.5931654791837137,0.6897751991504648
Brazilian_houses,4,130,1,no_scaling,r2,0.5758185005927103,0.7375366245936111
Brazilian_houses,4,130,2,learned,r2,0.5276817483271868,0.8744786173853255
Brazilian_houses,4,130,2,no_scaling,r2,0.5760145130326004,0.7369999662414853
wine,3,42,1,learned,r2,0.26501015609815753,0.048639043533195515
wine,3,42,1,no_scaling,r2,0.2555226268791333,0.05386229871668536
wine,3,42,2,learned,r2,0.22847629972887865,0.05006434112565652
wine,3,42,2,no_scaling,r2,0.25552265255381024,0.05386226961701203
wine,3,45,1,learned,r2,0.26360873327227324,0.041602659501383935
wine,3,45,1,no_scaling,r2,0.2725200357740924,0.04804039788343733
wine,3,45,2,learned,r2,0.275963936798908,0.05277548308776412
wine,3,45,2,no_scaling,r2,0.27252003210669024,0.04804038530411753
wine,3,54,1,learned,r2,0.31515802464494547,0.04137841471790625
wine,3,54,1,no_scaling,r2,0.3096422149412396,0.047157300364468156
wine,3,54,2,learned,r2,0.30526714166335156,0.05266452688617631
wine,3,54,2,no_scaling,r2,0.30964225807294665,0.04715728168582728
wine,3,65,1,learned,r2,0.33448599686138253,0.04225785641937294
wine,3,65,1,no_scaling,r2,0.3396205858435283,0.05047724881253063
wine,3,65,2,learned,r2,0.32581647716596046,0.047044860189588526
wine,3,65,2,no_scaling,r2,0.33962055022027177,0.05047720856746365
wine,3,72,1,learned,r2,0.35673061381831594,0.04922377782906053
wine,3,72,1,no_scaling,r2,0.34879603984925817,0.05252581689295713
wine,3,72,2,learned,r2,0.3508123154759549,0.044335185330745264
wine,3,72,2,no_scaling,r2,0.3487961300138106,0.05252579629895751
wine,3,86,1,learned,r2,0.3479899041756103,0.04817847156055384
wine,3,86,1,no_scaling,r2,0.36284147302309855,0.052563335154835474
wine,3,86,2,learned,r2,0.36526976761055163,0.05030307692341364
wine,3,86,2,no_scaling,r2,0.36284146271473067,0.052563450598707026
wine,3,92,1,learned,r2,0.3578919733497007,0.05241426844867829
wine,3,92,1,no_scaling,r2,0.36546191727278177,0.053884133796553164
wine,3,92,2,learned,r2,0.3604703897588669,0.04538842641628708
wine,3,92,2,no_scaling,r2,0.36546192545768125,0.053884177378664785
wine,3,94,1,learned,r2,0.35810522528813643,0.03833468635516769
wine,3,94,1,no_scaling,r2,0.36823578072860397,0.05383156519131581
wine,3,94,2,learned,r2,0.3702764499449822,0.04736252251468744
wine,3,94,2,no_scaling,r2,0.36823582337860705,0.053831541509638425
wine,3,99,1,learned,r2,0.35539157080492856,0.048131461240283356
wine,3,99,1,no_scaling,r2,0.37226650340786654,0.05168794389392749
wine,3,99,2,learned,r2,0.37918700810553946,0.046015428220127184
wine,3,99,2,no_scaling,r2,0.3722665429795349,0.051687935216757686
wine,3,110,1,learned,r2,0.36586216284384393,0.052697786484695204
wine,3,110,1,no_scaling,r2,0.37776517601867804,0.047870149978937196
wine,3,110,2,learned,r2,0.3690133013649713,0.04625064432314051
wine,3,110,2,no_scaling,r2,0.37776515550102047,0.04787020537132919
wine,3,150,1,learned,r2,0.3876210041694683,0.042190718029264274
wine,3,150,1,no_scaling,r2,0.38773362241452847,0.04224900946941855
wine,3,150,2,learned,r2,0.3871765325008356,0.053364864707201067
wine,3,150,2,no_scaling,r2,0.387733578492994,0.04224897426806505
wine,3,154,1,learned,r2,0.3856220552306708,0.033616498538258675
wine,3,154,1,no_scaling,r2,0.3882091316113533,0.04262952080340412
wine,3,154,2,learned,r2,0.3882007322983354,0.047458756906397004
wine,3,154,2,no_scaling,r2,0.3882090619193608,0.042629562313362616
wine,3,158,1,learned,r2,0.38289486266628325,0.043526620627641364
wine,3,158,1,no_scaling,r2,0.388341409022971,0.04274606980520401
wine,3,158,2,learned,r2,0.383598113686612,0.03650539074270782
wine,3,158,2,no_scaling,r2,0.3883413772159139,0.042746130768071065
wine,3,163,1,learned,r2,0.3933630328026907,0.044552546751298154
wine,3,163,1,no_scaling,r2,0.390167035358356,0.04246291093984345
wine,3,163,2,learned,r2,0.38605996344440063,0.03881663314184187
wine,3,163,2,no_scaling,r2,0.39016704124726903,0.04246285156028012
wine,3,170,1,learned,r2,0.3902665641369224,0.04197083125568899
wine,3,170,1,no_scaling,r2,0.39096713724190896,0.04222550100921581
wine,3,170,2,learned,r2,0.38819051021025164,0.04746143349850952
wine,3,170,2,no_scaling,r2,0.3909671287970879,0.042225492836293746
wine,3,173,1,learned,r2,0.3866805574644506,0.03894590763754017
wine,3,173,1,no_scaling,r2,0.3918713462312712,0.04233153001705131
wine,3,173,2,learned,r2,0.3799932311160088,0.03988282514063124
wine,3,173,2,no_scaling,r2,0.3918713149448,0.042331531800391
wine,3,179,1,learned,r2,0.3885472235739247,0.04366578859515406
wine,3,179,1,no_scaling,r2,0.39202988191942356,0.042748266244583305
wine,3,179,2,learned,r2,0.3824676429260071,0.046920915171118155
wine,3,179,2,no_scaling,r2,0.39202990529423654,0.04274820188904281
wine,3,182,1,learned,r2,0.3839108960323576,0.03547125784637637
wine,3,182,1,no_scaling,r2,0.39210796591225444,0.04248979230801743
wine,3,182,2,learned,r2,0.38980694294581053,0.04135366239925407
wine,3,182,2,no_scaling,r2,0.39210790441141996,0.04248977112328178
wine,3,184,1,learned,r2,0.3795395266216509,0.042602242542295554
wine,3,184,1,no_scaling,r2,0.39217737924948537,0.04271992553168659
wine,3,184,2,learned,r2,0.3953999752686367,0.04864001443659227
wine,3,184,2,no_scaling,r2,0.3921773513832206,0.04271992606676627
wine,3,186,1,learned,r2,0.39185669111761623,0.04144425082550497
wine,3,186,1,no_scaling,r2,0.3925633898399974,0.042647912437208654
wine,3,186,2,learned,r2,0.3916849408178599,0.04012279028981294
wine,3,186,2,no_scaling,r2,0.3925633801147422,0.042647952220408465
wine,4,42,1,learned,r2,0.27429105811593923,0.04212535606315149
wine,4,42,1,no_scaling,r2,0.2775455430236415,0.04541290338972164
wine,4,42,2,learned,r2,0.27737211551779073,0.04170361243047992
wine,4,42,2,no_scaling,r2,0.2775455762170457,0.045412877012399835
