dataset,k,weights,scaling,metric,mean,std
ailerons,25,uniform,0,r2,0.7327259735227201,0.011033233563183023
ailerons,25,uniform,1,r2,0.7665058974182692,0.023628427296845205
ailerons,25,distance,0,r2,0.7374216141467138,0.011173643670685662
ailerons,25,distance,1,r2,0.7702226701231278,0.023217928106763965
ailerons,50,uniform,0,r2,0.715894016312457,0.010259827832351348
ailerons,50,uniform,1,r2,0.7504678146991344,0.027003992544402527
ailerons,50,distance,0,r2,0.7213712622604309,0.010134090414774892
ailerons,50,distance,1,r2,0.7552420364958474,0.026301040714438315
ailerons,100,uniform,0,r2,0.691462393231867,0.010716795921374467
ailerons,100,uniform,1,r2,0.7279341663631006,0.02723291106923291
ailerons,100,distance,0,r2,0.6982647754885829,0.010381917418986222
ailerons,100,distance,1,r2,0.7339540425905926,0.026674961680949034
ailerons,250,uniform,0,r2,0.6462119427720694,0.011825761672383566
ailerons,250,uniform,1,r2,0.6809692584795954,0.0268544779250264
ailerons,250,distance,0,r2,0.6554906775007703,0.011629408206336643
ailerons,250,distance,1,r2,0.6901603305829903,0.026744411458485648
houses,2,uniform,0,r2,0.694432671851704,0.016311780052561065
houses,2,uniform,1,r2,0.7385835752188646,0.01654034029591283
houses,2,distance,0,r2,0.696423128146972,0.015778292081242696
houses,2,distance,1,r2,0.739419837815094,0.0170226309006182
houses,5,uniform,0,r2,0.7378906970698128,0.009312774818267594
houses,5,uniform,1,r2,0.7772881527305145,0.012790161083944986
houses,5,distance,0,r2,0.7418078254585595,0.009937201154361181
houses,5,distance,1,r2,0.780352255624389,0.013550226136195756
houses,7,uniform,0,r2,0.743304908431524,0.008729782873629667
houses,7,uniform,1,r2,0.780190949956399,0.012257892611021153
houses,7,distance,0,r2,0.7481056516176903,0.009305539277577667
houses,7,distance,1,r2,0.7843648770312788,0.012759365804431617
houses,10,uniform,0,r2,0.7418544939016769,0.010743548423398254
houses,10,uniform,1,r2,0.7800786402954147,0.012504481832390224
houses,10,distance,0,r2,0.7476278399476043,0.010700864111338387
houses,10,distance,1,r2,0.7851024413815568,0.012654188565242808
houses,25,uniform,0,r2,0.7289658326037078,0.012653408071839543
houses,25,uniform,1,r2,0.7692534327319043,0.011850527290218916
houses,25,distance,0,r2,0.736899887106302,0.012283478427619897
houses,25,distance,1,r2,0.7767321368135315,0.011798133416057127
houses,50,uniform,0,r2,0.7105926608153068,0.012064587855125684
houses,50,uniform,1,r2,0.7527470493942567,0.011545527924095885
houses,50,distance,0,r2,0.7199376843353227,0.011984476943697425
houses,50,distance,1,r2,0.7621577486382118,0.011360710158209062
houses,100,uniform,0,r2,0.6834916089873774,0.012897654012916981
houses,100,uniform,1,r2,0.7303014390108136,0.011879873173905677
houses,100,distance,0,r2,0.695145454921801,0.012736643242576777
houses,100,distance,1,r2,0.742129595658468,0.011614913979676896
houses,250,uniform,0,r2,0.6348688091492705,0.014125573787005304
houses,250,uniform,1,r2,0.6933190666029659,0.012255751018424398
houses,250,distance,0,r2,0.6510935248713103,0.01391944706133203
houses,250,distance,1,r2,0.7086991150967101,0.012062946457297915
house_16H,2,uniform,0,r2,0.33056918390136847,0.09209036846388864
house_16H,2,uniform,1,r2,0.3055981880279558,0.06314037193520688
house_16H,2,distance,0,r2,0.3276425214592088,0.08918898422231836
house_16H,2,distance,1,r2,0.30036672645924456,0.06552948911766451
house_16H,5,uniform,0,r2,0.4398549737892844,0.0732296304797991
house_16H,5,uniform,1,r2,0.43541374567494956,0.06222155198779425
house_16H,5,distance,0,r2,0.440141516547566,0.07571718367324622
house_16H,5,distance,1,r2,0.4322873338159151,0.06489388413838273
house_16H,7,uniform,0,r2,0.45283090215470195,0.0675175353306513
house_16H,7,uniform,1,r2,0.4541422200415458,0.052570468496408264
house_16H,7,distance,0,r2,0.45420077284676397,0.0701384078447117
house_16H,7,distance,1,r2,0.4522972513855287,0.05522688053747658
